和弦标记,名称,优先级,音程,度数,组成音数,音程结构,记号,音高集合
M,major,90,"0,4,7","1P,3M,5P",3,Major,"M,^,",2192
m,minor,90,"0,3,7","1P,3m,5P",3,Minor,"m,min,-",2320
7,dominant seventh,90,"0,4,7,10","1P,3M,5P,7m",4,Major,"7,dom",2194
5,fifth,85,"0,7","1P,5P",2,Unknown,5,2064
Madd9,-,70,"0,4,7,14","1P,3M,5P,9M",4,Major,"Madd9,2,add9,add2",2704
maj7,major seventh,70,"0,4,7,11","1P,3M,5P,7M",4,Major,"maj7,Δ,ma7,M7,Maj7,^7",2193
madd9,-,70,"0,3,7,14","1P,3m,5P,9M",4,Minor,madd9,2832
m7,minor seventh,70,"0,3,7,10","1P,3m,5P,7m",4,Minor,"m7,min7,mi7,-7",2322
M7b6,major seventh flat sixth,10,"0,4,8,11","1P,3M,6m,7M",4,Major,"M7b6,^7b6",2185
7b13,-,10,"0,4,10,20","1P,3M,7m,13m",4,Major,7b13,2186
9b13,-,10,"0,4,10,14,20","1P,3M,7m,9M,13m",5,Major,9b13,2698
11,eleventh,10,"0,7,10,14,17","1P,5P,7m,9M,11P",5,Unknown,11,2642
maj13,major thirteenth,10,"0,4,7,11,14,21","1P,3M,5P,7M,9M,13M",6,Major,"maj13,Maj13,^13",2709
7no5,-,0,"0,4,10","1P,3M,7m",3,Major,7no5,2178
Mb5,-,0,"0,4,6","1P,3M,5d",3,Major,Mb5,2208
m#5,minor augmented,0,"0,3,8","1P,3m,5A",3,Augmented,"m#5,-#5,m+",2312
aug,augmented,0,"0,4,8","1P,3M,5A",3,Augmented,"aug,+,+5,^#5",2184
dim,diminished,0,"0,3,6","1P,3m,5d",3,Diminished,"dim,°,o",2336
sus2,suspended second,0,"0,2,7","1P,2M,5P",3,Unknown,sus2,2576
sus4,suspended fourth,0,"0,5,7","1P,4P,5P",3,Unknown,"sus4,sus",2128
6,sixth,0,"0,4,7,9","1P,3M,5P,6M",4,Major,"6,add6,add13,M6",2196
alt7,altered,0,"0,4,10,13","1P,3M,7m,9m",4,Major,alt7,3202
Maddb9,-,0,"0,4,7,13","1P,3M,5P,9m",4,Major,Maddb9,3216
9no5,-,0,"0,4,10,14","1P,3M,7m,9M",4,Major,9no5,2690
7b5,-,0,"0,4,6,10","1P,3M,5d,7m",4,Major,7b5,2210
M7b5,-,0,"0,4,6,11","1P,3M,5d,7M",4,Major,M7b5,2209
m/ma7,minor/major seventh,0,"0,3,7,11","1P,3m,5P,7M",4,Minor,"m/ma7,m/maj7,mM7,mMaj7,m/M7,-Δ7,mΔ,-^7",2321
m6,minor sixth,0,"0,3,7,9","1P,3m,5P,6M",4,Minor,"m6,-6",2324
mb6b9,-,0,"0,3,8,13","1P,3m,6m,9m",4,Minor,mb6b9,3336
madd4,-,0,"0,3,5,7","1P,3m,4P,5P",4,Minor,madd4,2384
m7#5,-,0,"0,3,8,10","1P,3m,6m,7m",4,Minor,m7#5,2314
mb6M7,-,0,"0,3,8,11","1P,3m,6m,7M",4,Minor,mb6M7,2313
maj7#5,augmented seventh,0,"0,4,8,11","1P,3M,5A,7M",4,Augmented,"maj7#5,maj7+5,+maj7,^7#5",2185
M#5add9,-,0,"0,4,8,14","1P,3M,5A,9M",4,Augmented,"M#5add9,+add9",2696
+add#9,-,0,"0,4,8,15","1P,3M,5A,9A",4,Augmented,+add#9,2440
7#5,-,0,"0,4,8,10","1P,3M,5A,7m",4,Augmented,"7#5,+7,7+,7aug,aug7",2186
7#5sus4,-,0,"0,5,8,10","1P,4P,5A,7m",4,Augmented,7#5sus4,2122
M7#5sus4,-,0,"0,5,8,11","1P,4P,5A,7M",4,Augmented,M7#5sus4,2121
m7b5,half-diminished,0,"0,3,6,10","1P,3m,5d,7m",4,Diminished,"m7b5,ø,-7b5,h7,h",2338
dim7,diminished seventh,0,"0,3,6,9","1P,3m,5d,7d",4,Diminished,"dim7,°7,o7",2340
oM7,-,0,"0,3,6,11","1P,3m,5d,7M",4,Diminished,oM7,2337
7sus4,suspended fourth seventh,0,"0,5,7,10","1P,4P,5P,7m",4,Unknown,"7sus4,7sus",2130
sus24,-,0,"0,2,5,7","1P,2M,4P,5P",4,Unknown,"sus24,sus4add9",2640
4,-,0,"0,5,10,15","1P,4P,7m,10m",4,Unknown,"4,quartal",2370
M7sus4,-,0,"0,5,7,11","1P,4P,5P,7M",4,Unknown,M7sus4,2129
6/9,sixth/ninth,0,"0,4,7,9,14","1P,3M,5P,6M,9M",5,Major,"6/9,69,M69",2708
maj#4,major seventh sharp eleventh,0,"0,4,7,11,18","1P,3M,5P,7M,11A",5,Major,"maj#4,Δ#4,Δ#11,M7#11,^7#11,maj7#11",2225
maj9,major ninth,0,"0,4,7,11,14","1P,3M,5P,7M,9M",5,Major,"maj9,Δ9,^9",2705
7#11,lydian dominant seventh,0,"0,4,7,10,18","1P,3M,5P,7m,11A",5,Major,"7#11,7#4",2226
7#9,dominant sharp ninth,0,"0,4,7,10,15","1P,3M,5P,7m,9A",5,Major,7#9,2450
9,dominant ninth,0,"0,4,7,10,14","1P,3M,5P,7m,9M",5,Major,9,2706
7b9,dominant flat ninth,0,"0,4,7,10,13","1P,3M,5P,7m,9m",5,Major,7b9,3218
M7b9,-,0,"0,4,7,11,13","1P,3M,5P,7M,9m",5,Major,M7b9,3217
9b5,-,0,"0,4,6,10,14","1P,3M,5d,7m,9M",5,Major,9b5,2722
M9b5,-,0,"0,4,6,11,14","1P,3M,5d,7M,9M",5,Major,M9b5,2721
13no5,-,0,"0,4,10,14,21","1P,3M,7m,9M,13M",5,Major,13no5,2694
