记号,名称,音程,度数,音程结构,音高集合,优先级,和弦标记
"m,min,-",minor,"0,3,7","1P,3m,5P",Minor,2320,90,m
"M,^,",major,"0,4,7","1P,3M,5P",Major,2192,90,M
"7,dom",dominant seventh,"0,4,7,10","1P,3M,5P,7m",Major,2194,90,7
5,fifth,"0,7","1P,5P",Unknown,2064,85,5
sus2,suspended second,"0,2,7","1P,2M,5P",Unknown,2576,0,sus2
"7sus4,7sus",suspended fourth seventh,"0,5,7,10","1P,4P,5P,7m",Unknown,2130,0,7sus4
"b9sus,phryg,7b9sus,7b9sus4",suspended fourth flat ninth,"0,1,5,7,10","1P,4P,5P,7m,9m",Unknown,3154,0,b9sus
"sus4,sus",suspended fourth,"0,5,7","1P,4P,5P",Unknown,2128,0,sus4
"6/9,69,M69",sixth/ninth,"0,2,4,7,9","1P,3M,5P,6M,9M",Major,2708,0,6/9
"6,add6,add13,M6",sixth,"0,4,7,9","1P,3M,5P,6M",Major,2196,0,6
"m/ma7,m/maj7,mM7,mMaj7,m/M7,-Δ7,mΔ,-^7",minor/major seventh,"0,3,7,11","1P,3m,5P,7M",Minor,2321,0,m/ma7
"mM9,mMaj9,-^9",minor/major ninth,"0,2,3,7,11","1P,3m,5P,7M,9M",Minor,2833,0,mM9
"m13,-13",minor thirteenth,"0,2,3,7,9,10","1P,3m,5P,7m,9M,13M",Minor,2838,0,m13
"m6,-6",minor sixth,"0,3,7,9","1P,3m,5P,6M",Minor,2324,0,m6
"m7,min7,mi7,-7",minor seventh,"0,3,7,10","1P,3m,5P,7m",Minor,2322,0,m7
"m9,-9",minor ninth,"0,2,3,7,10","1P,3m,5P,7m,9M",Minor,2834,0,m9
"m11,-11",minor eleventh,"0,2,3,5,7,10","1P,3m,5P,7m,9M,11P",Minor,2898,0,m11
"m#5,-#5,m+",minor augmented,"0,3,8","1P,3m,5A",Augmented,2312,0,m#5
"maj13,Maj13,^13",major thirteenth,"0,2,4,7,9,11","1P,3M,5P,7M,9M,13M",Major,2709,0,maj13
"maj9#11,Δ9#11,^9#11",major sharp eleventh (lydian),"0,2,4,6,7,11","1P,3M,5P,7M,9M,11A",Major,2737,0,maj9#11
"maj#4,Δ#4,Δ#11,M7#11,^7#11,maj7#11",major seventh sharp eleventh,"0,4,6,7,11","1P,3M,5P,7M,11A",Major,2225,0,maj#4
"M7b6,^7b6",major seventh flat sixth,"0,4,8,11","1P,3M,6m,7M",Major,2185,0,M7b6
"maj7,Δ,ma7,M7,Maj7,^7",major seventh,"0,4,7,11","1P,3M,5P,7M",Major,2193,0,maj7
"maj9,Δ9,^9",major ninth,"0,2,4,7,11","1P,3M,5P,7M,9M",Major,2705,0,maj9
"7#11,7#4",lydian dominant seventh,"0,4,6,7,10","1P,3M,5P,7m,11A",Major,2226,0,7#11
"m7b5,ø,-7b5,h7,h",half-diminished,"0,3,6,10","1P,3m,5d,7m",Diminished,2338,0,m7b5
11,eleventh,"0,2,5,7,10","1P,5P,7m,9M,11P",Unknown,2642,0,11
13,dominant thirteenth,"0,2,4,7,9,10","1P,3M,5P,7m,9M,13M",Major,2710,0,13
7#9,dominant sharp ninth,"0,3,4,7,10","1P,3M,5P,7m,9A",Major,2450,0,7#9
9,dominant ninth,"0,2,4,7,10","1P,3M,5P,7m,9M",Major,2706,0,9
7b9,dominant flat ninth,"0,1,4,7,10","1P,3M,5P,7m,9m",Major,3218,0,7b9
